name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW
Danny_Simpson_217,0,0,0,0,0,0,0,0,0,0.0,0,0,217,0,0,195,0,0,0,0.0,10610,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,5,0,0,0,0,0,0,20,0,12380,0,0,0,1,0,0.0,0,6,229,223,42,True,0,0,20
Danny_Ward_105,0,0,0,0,0,0,0,0,0,0.0,0,0,105,0,0,195,0,0,0,0.0,10498,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,11,0,0,0,0,0,0,20,0,15830,0,0,0,1,0,0.0,0,-905,72,977,43,False,0,0,20
Danny_Ward_457,0,0,0,0,0,0,0,0,0,0.0,0,0,457,0,0,195,0,0,0,0.0,10850,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,5,0,0,0,0,0,0,20,0,9240,0,0,0,1,0,0.0,0,-66,51,117,43,True,0,0,20
Danny_Welbeck_21,0,0,0,0,0,0,0,0,0,0.0,0,0,21,0,0,196,0,0,0,0.0,10414,0.0,0,2018-12-29T17:30:00Z,29 Dec 17:30,0,0,0,0,0,12,0,0,0,0,0,0,20,0,29820,0,0,0,1,5,0.0,0,-335,81,416,65,False,0,0,20
Danny_Williams_204,0,0,0,0,0,0,0,0,0,0.0,0,0,204,0,0,194,0,0,0,0.0,10597,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,9,0,0,0,0,0,0,20,0,872,0,0,0,0,1,0.0,0,-12,16,28,45,False,0,0,20
Dan_Gosling_37,0,0,0,0,0,0,0,0,0,0.0,0,0,37,0,0,197,0,0,0,0.0,10430,0.0,0,2018-12-30T16:30:00Z,30 Dec 16:30,0,0,0,0,0,14,0,0,0,0,0,0,20,0,4032,0,0,0,1,4,0.0,0,-109,11,120,48,False,0,0,20
Daryl_Janmaat_381,0,65,0,0,0,12,0,6,54,14.7,1,0,381,0,0,200,2,1,0,3.7,10774,20.2,1,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,90,0,0,15,0,0,0,0,7,0,20,0,15584,3,0,0,1,1,2.0,2,-140,159,299,49,True,0,0,20
David Junior_Hoilett_99,0,18,0,0,0,6,1,2,13,7.8,1,0,99,0,0,195,3,0,0,3.7,10492,5.4,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,82,0,1,11,0,0,0,0,3,0,20,0,6834,5,2,0,1,0,24.0,3,-166,174,340,50,False,0,0,20
Davide_Zappacosta_120,0,0,0,0,0,0,0,0,0,0.0,0,0,120,0,0,193,0,0,0,0.0,10513,0.0,0,2018-12-30T12:00:00Z,30 Dec 12:00,0,0,0,0,0,7,0,0,0,0,0,0,20,0,8504,0,0,0,1,0,0.0,0,-119,107,226,51,False,0,0,20
David_Brooks_42,1,23,1,0,0,22,0,1,18,25.1,2,0,42,0,0,197,0,3,0,5.4,10435,25.2,2,2018-12-30T16:30:00Z,30 Dec 16:30,0,0,65,0,0,14,0,0,0,0,2,0,20,0,207278,2,1,0,1,4,4.0,5,14568,31103,16535,50,False,0,0,20
David_Button_179,0,21,0,0,2,29,1,2,6,0.0,0,0,179,0,0,191,0,0,0,3.1,10572,31.2,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,90,0,0,8,0,0,0,0,6,0,20,4,110377,0,0,0,0,1,0.0,9,5361,6876,1515,40,True,0,0,20
David_De Gea_282,0,21,0,0,0,12,0,0,13,0.0,0,0,282,0,0,197,0,1,0,1.9,10675,18.6,0,2018-12-30T16:30:00Z,30 Dec 16:30,0,0,90,0,0,2,0,0,0,0,6,0,20,2,887641,0,0,0,1,4,0.0,2,-6205,8036,14241,57,True,0,0,20
David_Luiz Moreira Marinho_116,1,75,1,0,3,42,1,5,69,14.4,0,0,116,0,0,193,0,0,0,5.2,10509,38.0,1,2018-12-30T12:00:00Z,30 Dec 12:00,0,0,90,0,0,7,0,0,0,0,4,0,20,0,605763,0,1,0,1,0,0.0,12,-4592,31352,35944,58,False,0,0,20
David_Silva_271,0,77,1,1,3,36,0,1,70,56.2,0,0,271,0,0,198,1,1,1,14.6,10664,53.4,4,2018-12-30T14:15:00Z,30 Dec 14:15,0,0,90,0,1,16,0,0,0,0,6,0,20,0,220942,4,2,0,3,1,36.0,10,-3799,5854,9653,85,False,0,0,20
Davinson_Sánchez_359,0,84,0,0,0,15,0,3,82,2.3,0,0,359,0,0,199,1,3,0,2.0,10752,17.4,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,90,0,0,20,0,0,0,0,5,0,20,0,85858,0,1,0,3,1,0.0,1,-455,665,1120,58,True,0,0,20
Davy_Klaassen_171,0,0,0,0,0,0,0,0,0,0.0,0,0,171,0,0,191,0,0,0,0.0,10564,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,3,0,0,0,0,0,0,20,0,434,0,0,0,0,1,0.0,0,0,0,0,60,False,0,0,20
Davy_Pröpper_60,0,37,0,0,0,10,1,2,23,15.3,2,0,60,0,0,191,2,0,0,3.6,10453,12.6,1,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,90,1,0,8,0,0,0,0,7,0,20,0,4924,0,1,1,0,1,8.0,3,86,229,143,48,True,0,0,20
DeAndre_Yedlin_310,0,26,0,0,0,9,0,5,18,11.2,0,0,310,0,0,200,4,1,0,2.4,10703,11.8,1,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,90,0,0,18,0,0,0,0,6,0,20,0,62449,0,3,1,1,1,1.0,1,-4417,264,4681,45,False,0,1,20
Declan_Rice_406,0,45,0,0,0,11,0,1,42,5.8,1,0,406,0,0,192,1,2,0,2.3,10799,17.2,0,2018-12-30T14:15:00Z,30 Dec 14:15,0,0,90,0,0,4,0,0,0,0,7,0,20,0,49214,0,0,0,0,2,0.0,0,4334,6372,2038,44,False,0,1,20
Dejan_Lovren_239,1,50,0,0,0,21,0,3,41,0.1,0,0,239,0,0,196,0,1,0,1.4,10632,12.2,0,2018-12-29T17:30:00Z,29 Dec 17:30,0,0,90,0,0,1,0,0,0,0,4,0,20,0,184349,0,0,0,1,5,2.0,5,11254,18870,7616,49,True,0,0,20
Demarai_Gray_225,0,18,0,0,0,2,1,0,16,3.8,1,0,225,0,0,195,1,0,0,1.3,10618,0.8,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,78,0,0,5,0,0,0,0,1,0,20,0,53270,3,0,1,1,0,8.0,3,-2149,789,2938,54,True,0,0,20
