assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,-1,0,13.0,335,9,2,0,5.0,1.8,2022-08-07T13:00:00Z,90,5,0,0,0,0,1,0,964460,2,1,35.0,2,0,0,0,65,True,0
0,0,8,0,27.6,335,13,4,0,7.7,19.4,2022-08-13T16:30:00Z,90,4,0,0,0,0,2,0,892599,0,4,30.0,1,-127126,42301,169427,65,False,1
0,3,28,0,0.8,335,27,1,1,11.3,36.0,2022-08-22T19:00:00Z,85,12,0,0,0,0,3,0,442943,1,2,76.0,10,-457103,15447,472550,63,True,0
0,0,4,1,3.8,335,39,0,0,2.6,4.4,2022-08-27T11:30:00Z,90,17,0,0,0,0,4,0,580997,1,0,18.0,3,95534,172188,76654,63,False,0
1,0,16,1,30.7,335,46,0,0,7.6,19.0,2022-09-01T19:00:00Z,86,10,0,0,0,0,5,0,603348,1,0,26.0,6,8964,94697,85733,63,False,0
