name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Josh Nichols,DEF,Arsenal,0.0,0,0,0,0,0,0.0,0,15,0.00,0.00,0.00,0.00,123,0,0,0.0,0.0,2025-11-30T16:30:00Z,0,False,7,0,0,0,0,0,13,0,26426,0,0,1,1,0.0,0,-389,247,636,38,False,0
Jhon Arias,MID,Wolves,0.0,0,0,5,0,2,5.0,8,663,0.02,0.11,0.09,0.97,121,1,0,1.9,1.0,2025-11-30T14:05:00Z,87,False,2,0,0,0,5,0,13,0,20974,1,1,0,1,13.0,1,-1250,70,1320,50,False,1
Chido Obi,FWD,Man Utd,0.0,0,0,0,0,0,0.0,0,467,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2025-11-30T12:00:00Z,0,False,8,0,0,0,0,0,13,0,173383,0,0,2,1,0.0,0,-5537,1311,6848,43,False,0
Marc Guiu Paz,FWD,Chelsea,0.0,0,0,0,0,0,0.0,0,252,0.00,0.00,0.00,0.00,123,0,0,0.0,0.0,2025-11-30T16:30:00Z,0,False,1,0,0,0,0,0,13,0,961982,0,0,1,1,0.0,0,-11994,26003,37997,42,True,0
Aaron Ramsey,MID,Burnley,0.0,0,0,0,0,0,0.0,0,211,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,5,0,0,0,0,0,13,0,236480,0,0,1,3,0.0,0,-9082,0,9082,44,False,0
John McGinn,MID,Aston Villa,0.0,1,1,31,1,3,50.1,16,54,0.10,0.12,0.02,0.49,121,0,0,9.7,35.4,2025-11-30T14:05:00Z,90,False,20,0,0,0,11,0,13,0,80022,1,2,0,1,11.0,9,-257,4238,4495,54,True,0
Chadi Riad Dnanou,DEF,Crystal Palace,0.0,0,0,0,0,0,0.0,0,262,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2025-11-30T12:00:00Z,0,False,14,0,0,0,0,0,13,0,1853,0,0,2,1,0.0,0,-6,108,114,40,True,0
Pedro Cardoso de Lima,DEF,Wolves,0.0,0,0,0,0,0,0.0,0,640,0.00,0.00,0.00,0.00,121,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,2,0,0,0,0,0,13,0,55467,0,0,0,1,0.0,0,-1212,0,1212,40,False,0
Hannes Delcroix,DEF,Burnley,0.0,0,0,0,0,0,0.0,0,188,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,5,0,0,0,0,0,13,0,33483,0,0,1,3,0.0,0,100,783,683,38,False,0
Phil Foden,MID,Man City,0.0,0,3,51,0,1,33.6,2,414,0.22,0.92,0.70,1.54,126,2,2,16.6,76.6,2025-11-29T15:00:00Z,90,False,11,0,0,0,1,0,13,0,881629,1,0,2,3,56.0,15,99752,127510,27758,80,True,0
Jonah Kusi-Asare,FWD,Fulham,0.0,0,0,0,0,0,0.0,0,737,0.00,0.00,0.00,0.00,129,0,0,0.0,0.0,2025-11-29T20:00:00Z,0,False,18,0,0,0,0,0,13,0,8396,0,0,2,1,0.0,0,-272,246,518,45,False,0
Tom Heaton,GK,Man Utd,0.0,0,0,0,0,0,0.0,0,434,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2025-11-30T12:00:00Z,0,False,8,0,0,0,0,0,13,0,36238,0,0,2,1,0.0,0,11,534,523,39,False,0
Yéremy Pino Santos,MID,Crystal Palace,0.0,0,0,4,0,1,42.2,6,712,0.27,0.45,0.18,1.10,124,2,0,5.5,5.8,2025-11-30T12:00:00Z,77,False,14,0,0,0,4,0,13,0,22292,1,1,2,1,7.0,2,3335,4913,1578,58,True,0
Wilson Odobert,MID,Spurs,0.0,0,0,0,0,0,1.9,1,588,0.01,0.10,0.09,0.13,129,0,0,1.0,0.0,2025-11-29T20:00:00Z,30,False,10,0,0,0,1,0,13,0,5170,0,0,2,1,9.0,1,178,422,244,53,True,0
Omari Hutchinson,MID,Nott'm Forest,0.0,0,0,13,0,0,47.8,4,693,0.12,0.15,0.03,0.41,127,1,0,7.6,16.0,2025-11-30T14:05:00Z,45,False,6,0,0,0,3,0,13,0,4496,0,1,2,0,12.0,1,552,703,151,54,True,0
Alex Murphy,DEF,Newcastle,0.0,0,0,0,0,0,0.0,0,481,0.00,0.00,0.00,0.00,125,0,0,0.0,0.0,2025-11-29T17:30:00Z,0,False,9,0,0,0,0,0,13,0,74518,0,0,4,1,0.0,0,-1252,559,1811,39,False,0
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,0.0,0,0,5,0,1,20.8,3,416,0.13,0.20,0.07,1.42,126,2,0,3.1,3.6,2025-11-29T15:00:00Z,88,False,11,0,0,0,2,0,13,0,66178,1,0,2,3,7.0,1,347,2503,2156,63,True,1
Hannibal Mejbri,MID,Burnley,0.0,0,0,1,0,0,2.5,3,207,0.03,0.12,0.09,1.35,122,0,0,0.9,0.4,2025-11-29T15:00:00Z,59,False,5,0,0,0,2,0,13,0,15495,1,1,1,3,6.0,0,-388,304,692,48,False,1
Jacob Bruun Larsen,MID,Burnley,0.0,0,0,3,0,0,1.3,1,202,0.04,0.04,0.00,1.55,122,3,0,0.2,0.6,2025-11-29T15:00:00Z,15,False,5,0,0,0,1,0,13,0,4076,0,0,1,3,0.0,1,-76,102,178,53,False,0
Dennis Cirkin,DEF,Sunderland,0.0,0,0,0,0,0,0.0,0,535,0.00,0.00,0.00,0.00,128,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,4,0,0,0,0,0,13,0,1470,0,0,2,3,0.0,0,-31,16,47,40,True,0
Daniel Muñoz Mejía,DEF,Crystal Palace,0.0,0,0,0,0,5,1.1,7,256,0.01,0.01,0.00,1.19,124,2,0,1.4,10.8,2025-11-30T12:00:00Z,90,False,14,0,0,0,5,0,13,0,2831805,1,2,2,1,2.0,1,460735,480950,20215,59,True,0
