name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Fabian Schär,DEF,Everton,1.8,0,0,16,0,0.0,334,4,3,0,2.2,22.0,2021-08-14T14:00:00Z,90,8,0,0,0,0,1,3,105810,1,3,0.0,2,0,0,0,45,False,0,1
João Filipe Iria Santos Moutinho,MID,Sheffield Utd,0.5,0,0,0,0,0.0,454,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,58021,2,3,0.0,0,0,0,0,40,True,0,1
Fabián Balbuena,DEF,Leicester,0.5,0,0,6,0,16.7,443,5,1,0,3.6,13.6,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,134452,0,1,6.0,1,0,0,0,40,False,1,1
Eric Garcia,DEF,West Ham,3.1,0,0,8,0,2.3,288,6,1,0,0.9,4.8,2021-08-14T11:30:00Z,90,10,0,0,0,0,1,0,704348,1,5,2.0,2,0,0,0,55,True,0,1
Lewis Dunk,DEF,Arsenal,2.2,0,0,0,0,0.0,62,2,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,271608,2,1,0.0,0,0,0,0,45,False,0,1
Josh Onomah,MID,Newcastle,1.4,1,0,25,0,13.1,188,6,5,0,4.3,29.6,2021-08-14T11:30:00Z,90,13,0,0,0,0,1,0,1045606,1,5,0.0,5,0,0,0,55,False,0,1
Mohamed Naser El Sayed Elneny,MID,Wolves,1.5,0,0,0,0,0.0,526,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,1933,2,3,0.0,0,0,0,0,45,False,0,1
Cyrus Christie,DEF,Spurs,2.2,0,0,0,0,0.0,179,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,16,0,0,0,0,1,0,73737,1,3,0.0,0,0,0,0,50,True,0,1
Rúben Gonçalo Silva Nascimento Vinagre,DEF,Brighton,0.4,0,0,15,0,30.1,471,7,3,0,6.3,29.0,2021-08-14T16:30:00Z,90,11,0,0,0,0,1,0,4850,3,0,4.0,2,0,0,0,50,True,0,1
Pablo Hernández Domínguez,MID,Newcastle,0.9,0,0,7,0,14.3,193,6,0,0,2.2,4.4,2021-08-14T11:30:00Z,13,13,0,0,0,0,1,0,4628,1,5,3.0,1,0,0,0,50,False,0,1
Max Lowe,DEF,West Ham,1.9,0,0,0,0,0.0,511,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,1693,1,5,0.0,0,0,0,0,50,True,0,1
Luke Ayling,DEF,Newcastle,0.5,0,0,0,0,0.0,197,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,4409,1,5,0.0,0,0,0,0,45,False,0,1
Billy Gilmour,MID,Liverpool,2.4,0,0,0,0,0.0,124,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,9890,0,3,0.0,0,0,0,0,55,True,0,1
Aaron Connolly,FWD,Crystal Palace,1.1,0,0,4,1,15.8,78,1,0,0,2.6,6.2,2021-08-13T19:00:00Z,90,1,0,0,0,0,1,0,2065056,0,2,4.0,2,0,0,0,65,True,0,1
Davy Pröpper,MID,Arsenal,2.7,0,0,14,0,0.7,59,2,1,0,2.0,19.6,2021-08-14T14:00:00Z,90,5,0,0,0,0,1,0,437885,2,1,0.0,2,0,0,0,50,False,0,1
Adam Lallana,MID,Arsenal,1.5,0,0,0,0,0.0,54,2,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,177975,2,1,0.0,0,0,0,0,40,False,0,1
Ryan Fraser,MID,Sheffield Utd,1.5,0,0,0,0,0.0,507,10,0,0,0.0,0.0,2021-08-15T15:30:00Z,0,17,0,0,0,0,1,0,2450,0,1,0.0,0,0,0,0,45,False,0,1
Jordan Stevens,MID,West Brom,2.9,0,0,9,1,15.2,212,5,0,0,2.1,4.2,2021-08-14T14:00:00Z,61,20,0,0,0,0,1,0,833924,0,1,2.0,3,0,0,0,70,True,0,1
Aaron Mooy,MID,Arsenal,2.4,0,0,12,0,45.3,60,2,1,0,7.5,18.6,2021-08-14T14:00:00Z,90,5,0,0,0,0,1,0,6789,2,1,11.0,2,0,0,0,55,False,0,1
Cengiz Ünder,MID,Leeds,0.5,0,0,3,0,5.0,541,3,0,0,0.6,1.0,2021-08-14T14:00:00Z,13,6,0,0,0,0,1,0,0,0,3,0.0,1,0,0,0,45,False,0,1
Roberto Firmino,FWD,Sheffield Utd,3.1,0,0,0,0,0.0,249,10,0,0,0.0,0.0,2021-08-15T15:30:00Z,0,17,0,0,0,0,1,0,371353,0,1,0.0,0,0,0,0,55,False,0,1
Marcus Rashford,MID,Arsenal,0.0,0,0,14,0,3.3,306,9,4,0,2.0,8.8,2021-08-15T13:00:00Z,90,19,0,0,0,0,1,0,10633,4,2,8.0,2,0,0,0,45,True,0,1
Sofiane Boufal,MID,Aston Villa,1.6,0,0,6,0,1.0,372,10,0,0,0.6,3.0,2021-08-15T15:30:00Z,13,12,0,0,0,0,1,0,10720,0,1,2.0,1,0,0,0,60,True,0,1
Tyrick Mitchell,DEF,Leeds,1.3,0,0,20,0,0.0,146,3,3,0,2.4,24.0,2021-08-14T14:00:00Z,90,6,0,0,0,0,1,3,361754,0,3,0.0,2,0,0,0,45,False,0,1
Davinson Sánchez,DEF,Sheffield Utd,0.5,0,0,0,0,0.0,398,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,53117,2,3,0.0,0,0,0,0,40,True,0,1
Jay Rodriguez,FWD,Crystal Palace,0.0,0,0,0,0,0.0,86,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,2850,0,2,0.0,0,0,0,0,50,True,0,1
Wes Foderingham,GK,Everton,1.9,0,0,5,0,7.2,350,4,3,0,3.8,17.2,2021-08-14T14:00:00Z,90,8,0,0,0,0,1,0,4568,1,3,14.0,2,0,0,0,55,False,0,1
Angus Gunn,GK,Aston Villa,1.2,0,0,20,1,5.7,371,10,0,0,2.2,13.8,2021-08-15T15:30:00Z,82,12,0,0,0,0,1,0,11654,0,1,2.0,6,0,0,0,45,True,0,1
Mason Mount,MID,Liverpool,0.0,0,0,0,0,0.0,120,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,2369,0,3,0.0,0,0,0,0,65,True,0,1
Alireza Jahanbakhsh,MID,Arsenal,0.0,0,0,0,0,0.0,71,2,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,41209,2,1,0.0,0,0,0,0,45,False,0,1
Eric Dier,DEF,Sheffield Utd,1.4,0,0,4,0,25.2,391,8,2,0,3.7,8.0,2021-08-14T14:00:00Z,90,2,0,0,0,0,1,0,4107,2,3,4.0,1,0,0,0,55,True,1,1
Nicolás Otamendi,DEF,West Ham,0.0,0,0,0,0,0.0,269,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,556860,1,5,0.0,0,0,0,0,85,True,0,1
Léo Bonatini,FWD,Newcastle,1.7,0,0,4,0,0.8,463,6,4,0,0.5,3.8,2021-08-14T11:30:00Z,45,13,0,0,0,0,1,0,61450,1,5,0.0,-1,0,0,0,50,False,0,1
Nathan Redmond,MID,Aston Villa,0.9,0,0,13,1,21.8,365,10,0,0,4.6,12.6,2021-08-15T15:30:00Z,89,12,0,0,0,0,1,0,203490,0,1,12.0,3,0,0,0,50,True,0,1
Giovani Lo Celso,MID,Sheffield Utd,1.4,0,0,0,0,0.0,403,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,2882,2,3,0.0,0,0,0,0,55,True,0,1
Filip Benkovic,DEF,Chelsea,5.0,0,0,24,1,48.6,237,7,0,0,7.1,18.4,2021-08-14T16:30:00Z,90,15,0,0,0,0,1,0,2245431,3,0,4.0,6,0,0,0,75,False,0,1
Jay-Roy Grot,MID,West Brom,3.1,1,3,34,1,17.5,207,5,0,0,5.1,33.2,2021-08-14T14:00:00Z,90,20,0,0,0,0,1,0,150617,0,1,0.0,12,0,0,0,55,True,0,1
Simon Moore,GK,Everton,1.0,0,0,0,0,0.0,348,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,849691,1,3,0.0,0,0,0,0,45,False,0,1
Josh Brownhill,MID,Fulham,1.7,0,0,13,0,0.6,98,2,2,1,9.4,49.0,2021-08-14T14:00:00Z,90,4,0,0,0,0,1,0,92401,2,1,44.0,6,0,0,0,50,True,1,1
Gylfi Sigurdsson,MID,Leeds,1.2,0,0,16,0,0.6,150,3,3,0,1.7,16.4,2021-08-14T14:00:00Z,90,6,0,0,0,0,1,0,30144,0,3,0.0,1,0,0,0,45,False,0,1
James Justin,DEF,Chelsea,2.4,0,0,12,1,16.8,239,7,0,0,3.4,13.4,2021-08-14T16:30:00Z,82,15,0,0,0,0,1,0,11589,3,0,4.0,3,0,0,0,50,False,0,1
Aaron Ramsdale,GK,Crystal Palace,0.7,0,0,23,1,11.2,483,1,0,0,2.3,8.2,2021-08-13T19:00:00Z,70,1,0,0,0,0,1,0,35174,0,2,4.0,6,0,0,0,45,True,0,1
Aaron Wan-Bissaka,DEF,Brighton,0.0,0,0,0,0,0.0,313,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,11,0,0,0,0,1,0,45779,3,0,0.0,0,0,0,0,40,True,0,1
Conor Hourihane,MID,Sheffield Utd,3.2,0,0,17,0,28.6,33,10,1,0,11.0,18.2,2021-08-15T15:30:00Z,90,17,0,0,0,0,1,0,1605017,0,1,63.0,1,0,0,0,80,False,1,1
Kurt Zouma,DEF,Fulham,1.2,0,0,10,0,15.9,110,2,2,0,2.9,12.8,2021-08-14T14:00:00Z,90,4,0,0,0,0,1,0,181765,2,1,0.0,1,0,0,0,45,True,0,1
Ben Osborn,MID,Aston Villa,0.0,0,0,0,0,0.0,356,10,0,0,0.0,0.0,2021-08-15T15:30:00Z,0,12,0,0,0,0,1,0,707,0,1,0.0,0,0,0,0,60,True,0,1
Rhian Brewster,FWD,Sheffield Utd,3.4,0,0,14,0,1.0,262,10,1,0,2.3,19.8,2021-08-15T15:30:00Z,90,17,0,0,0,0,1,0,1704318,0,1,2.0,2,0,0,0,60,False,0,1
Ricardo Domingos Barbosa Pereira,DEF,Chelsea,3.1,0,0,0,0,0.0,226,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,7832,3,0,0.0,0,0,0,0,60,False,0,1
Jorge Luiz Frello Filho,MID,Fulham,1.1,0,0,3,0,10.1,105,2,2,0,1.2,2.2,2021-08-14T14:00:00Z,20,4,0,0,0,0,1,0,133470,2,1,0.0,1,0,0,0,55,True,0,1
Serge Aurier,DEF,Sheffield Utd,1.3,0,0,9,0,0.0,389,8,2,0,0.3,2.8,2021-08-14T14:00:00Z,90,2,0,0,0,0,1,0,149145,2,3,0.0,1,0,0,0,45,True,0,1
Phil Jagielka,DEF,Liverpool,0.0,0,0,0,0,0.0,529,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,485681,0,3,0.0,0,0,0,0,115,True,0,1
Ahmed El Mohamady,DEF,Wolves,1.9,0,0,0,0,0.0,29,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,3083,2,3,0.0,0,0,0,0,50,False,0,1
Erik Lamela,MID,Sheffield Utd,1.2,0,0,11,0,0.0,387,8,2,0,0.8,7.8,2021-08-14T14:00:00Z,90,2,0,0,0,0,1,0,7659,2,3,0.0,1,0,0,0,45,True,0,1
John Fleck,MID,Everton,1.4,0,0,2,0,0.3,346,4,1,0,0.3,0.2,2021-08-14T14:00:00Z,10,8,0,0,0,0,1,0,9118,1,3,2.0,1,0,0,0,50,False,0,1
Jimmy Dunne,DEF,Everton,1.6,0,0,0,0,0.0,519,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,13833,1,3,0.0,0,0,0,0,55,False,0,1
Naby Keita,MID,Sheffield Utd,2.9,0,0,0,0,0.0,261,10,0,0,0.0,0.0,2021-08-15T15:30:00Z,0,17,0,0,0,0,1,0,88694,0,1,0.0,0,0,0,0,70,False,0,1
Dwight Gayle,FWD,Brighton,0.3,0,0,3,0,0.5,329,7,0,0,3.7,3.2,2021-08-14T16:30:00Z,13,11,0,0,0,0,1,0,31923,3,0,33.0,1,0,0,0,50,True,0,1
Leonardo Campana,FWD,Arsenal,0.0,0,0,0,0,0.0,476,2,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,2238,2,1,0.0,0,0,0,0,45,False,0,1
David Martin,GK,Leicester,1.2,0,0,15,0,0.0,429,5,1,0,1.1,11.2,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,493790,0,1,0.0,2,0,0,0,45,False,0,1
Declan Rice,MID,Brighton,0.0,0,0,0,0,0.0,448,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,11,0,0,0,0,1,0,103597,3,0,0.0,0,0,0,0,40,True,0,1
Wesley Moraes,FWD,Wolves,0.0,0,0,0,0,0.0,48,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,129,2,3,0.0,0,0,0,0,55,False,0,1
Glenn Murray,FWD,Arsenal,2.4,0,0,7,0,3.0,53,2,0,0,0.7,1.6,2021-08-14T14:00:00Z,45,5,0,0,0,0,1,0,17460,2,1,2.0,1,0,0,0,55,False,0,1
Jamie Shackleton,MID,West Brom,2.8,0,0,23,1,17.8,210,5,0,0,5.8,33.4,2021-08-14T14:00:00Z,90,20,0,0,0,0,1,0,364491,0,1,7.0,3,0,0,0,65,True,0,1
John Egan,DEF,Aston Villa,2.8,0,3,28,1,0.0,353,10,0,0,3.2,31.8,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,4,224734,0,1,0.0,10,0,0,0,55,True,0,1
William Smallbone,MID,Sheffield Utd,1.2,0,0,6,0,0.8,379,8,2,0,1.3,11.8,2021-08-14T14:00:00Z,90,2,0,0,0,0,1,0,10383,2,3,0.0,1,0,0,0,45,True,0,1
Kevin Long,DEF,Crystal Palace,0.9,0,0,0,0,0.0,85,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,4061,0,2,0.0,0,0,0,0,55,True,0,1
