assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,saves,season_name,start_cost,starts,tackles,threat,total_points,yellow_cards
0,0,0,0,0,0.0,0,433590,40,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,2020/21,40,0,0,0.0,0,0
0,0,14,0,0,16.5,0,433590,39,0.00,0.00,0.00,0.00,6,0,4.0,20.0,126,0,0,0,0,0,0,2021/22,40,0,0,4.0,0,1
0,0,16,0,0,2.7,0,433590,40,0.01,0.01,0.00,1.40,3,0,1.6,12.8,70,0,0,0,0,0,0,2022/23,40,1,0,0.0,1,0
