assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
1,1,0,0,0.0,0,18759,61,6,1,0.0,616,0.0,705,0,0,0,0,0,1,2006/07,60,0.0,37,1
1,0,0,0,0.0,0,18759,59,21,0,0.0,948,0.0,2274,0,0,0,0,0,2,2007/08,65,0.0,96,4
2,2,0,0,0.0,0,18759,64,21,1,0.0,1564,0.0,2575,0,0,0,0,0,3,2008/09,60,0.0,121,8
0,0,0,0,0.0,0,18759,65,0,0,0.0,2293,0.0,0,0,0,0,0,0,4,2009/10,65,0.0,0,0
0,0,34,0,32.5,0,18759,45,9,0,7.3,7079,37.0,258,0,0,0,0,0,11,2016/17,50,3.0,0,3
