assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,0,61,50,50,1,0.25,444145,2,,0,0,-2,2,86.0,64,47,3,,0,3,1.2,1.2,0,0.54,0.14,1.33,0.34,0.79,2.99,0.76,0.2,Gabriel,2.0,185,82,4,1.01,0,27.6,60,37,12,False,59.8,196,77,356,Muscle injury - 50% chance of playing,2023-09-17T20:30:06.235303Z,78,17,10,0,0,4,0,,444145.jpg,3.2,119,53,0,0,0.0,Martinelli Silva,5.8,67,19,False,None,5,1.26,d,1,3,131.0,39,25,16,246763,348,1080430,61285,0.3,2.1,Martinelli,0
1,2,67,None,None,3,0.64,205533,None,,-1,1,0,0,69.7,94,8,None,,0,4,3.0,3.0,1,0.20,0.04,1.89,0.4,1.69,3.53,0.75,0.36,Eddie,2.5,128,18,4,0.85,2,27.6,59,14,13,False,73.0,163,18,425,,None,55,106,31,0,0,None,0,,205533.jpg,3.8,86,16,0,0,0.0,Nketiah,5.7,68,15,False,None,5,1.06,a,1,3,136.0,36,13,23,541377,11310,391449,22388,0.5,4.2,Nketiah,1
0,3,90,None,None,2,0.34,184029,3,,0,0,0,0,128.7,30,22,1,,0,3,3.7,3.7,1,0.51,0.09,2.25,0.38,1.74,5.03,0.85,0.29,Martin,3.2,86,37,5,0.85,2,42.2,24,18,14,False,133.6,57,23,532,,None,85,8,6,0,0,2,0,,184029.jpg,4.3,55,25,0,0,0.0,Ødegaard,21.1,17,7,False,None,6,1.02,a,1,3,160.0,26,16,26,492947,20133,769779,56456,0.4,3.1,Ødegaard,1
0,0,55,0,0,1,0.38,167199,None,,0,0,-2,2,58.2,122,85,None,,0,3,0.0,0.0,0,0.19,0.07,0.26,0.1,0.07,2.53,0.97,0.03,Thomas,0.2,366,169,2,0.77,0,12.7,209,99,15,False,53.4,210,84,235,Groin Injury - Expected back 21 Oct,2023-09-04T05:00:07.113298Z,48,302,200,0,0,None,0,,167199.jpg,2.0,213,93,0,0,0.0,Partey,0.2,315,95,False,None,3,1.15,i,1,3,15.0,244,128,6,7104,6,29547,936,0.0,1.2,Thomas,0
0,0,0,0,0,0,0,195735,None,,0,0,-1,1,0.0,660,275,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Nicolas,0.0,654,271,0,0,0,0.0,666,276,16,False,0.0,662,274,0,Permanent move to Trabzonspor,2023-09-11T14:13:51.462896Z,49,254,168,0,0,None,0,,195735.jpg,0.0,666,276,0,0,0,Pépé,0.1,485,166,False,None,0,0,u,1,3,0.0,656,272,0,667,0,5253,184,0.0,0.0,Pepe,0
0,0,55,None,None,1,0.25,225321,None,,-1,1,-1,1,0.0,664,81,None,,0,1,1.3,1.3,0,0.01,0.0,0.01,0.0,0.00,3.73,0.93,0.0,Aaron,0.8,294,22,4,1.0,0,5.1,306,21,17,False,51.0,215,21,360,,None,49,267,10,0,0,None,0,,225321.jpg,2.8,141,15,0,5,1.25,Ramsdale,13.4,29,6,False,None,4,1.0,a,1,3,0.0,660,80,11,194518,2415,653167,89666,0.2,2.2,Ramsdale,0
0,0,0,0,0,0,0,115918,None,,0,0,0,0,0.0,422,24,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Rúnar Alex,0.0,411,41,0,0,0,0.0,444,41,18,False,0.0,438,41,0,Season long loan to Cardiff City,2023-08-20T06:33:02.960208Z,40,616,48,0,0,None,0,,115918.jpg,0.0,439,41,0,0,0,Rúnarsson,0.1,389,57,False,None,0,0,u,1,3,0.0,393,20,0,990,0,7564,227,0.0,0.0,Rúnarsson,0
3,7,166,None,None,2,0.33,223340,1,,0,0,2,-2,290.4,1,1,None,,2,3,8.3,8.3,13,2.01,0.34,5.03,0.85,3.02,5.18,0.87,0.51,Bukayo,7.8,5,4,6,1.0,3,73.1,2,1,19,True,229.4,3,1,538,,None,87,7,5,0,0,1,0,,223340.jpg,7.3,2,1,0,0,0.0,Saka,65.8,2,1,False,None,6,1.0,a,1,3,212.0,11,6,44,1149470,85071,545521,10713,0.9,5.1,Saka,1
1,2,120,None,None,2,0.33,462424,None,,0,0,2,-2,34.1,180,50,None,,0,2,3.0,3.0,1,0.10,0.02,0.14,0.03,0.04,5.53,0.92,0.01,William,2.5,123,40,6,1.0,0,19.0,120,29,20,False,145.8,40,10,540,,None,52,160,14,0,0,None,0,,462424.jpg,3.8,80,24,0,0,0.0,Saliba,28.9,12,3,False,None,6,1.0,a,1,3,9.0,286,92,23,1283920,25975,472394,34728,0.5,4.4,Saliba,0
0,0,5,None,None,0,0.0,209289,None,,0,0,-2,2,1.2,357,178,None,,0,3,0.7,0.7,1,0.01,0.9,0.01,0.9,0.00,0.08,7.2,0.0,Emile,0.2,380,179,0,0.0,0,0.5,402,188,22,False,2.2,395,187,1,,None,53,153,97,0,0,None,0,,209289.jpg,1.0,380,180,0,0,0.0,Smith Rowe,0.1,392,125,False,None,0,0.0,a,1,3,2.0,356,178,1,1836,151,10294,243,0.0,0.2,Smith Rowe,0
