assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,saves,season_name,start_cost,starts,tackles,threat,total_points,yellow_cards
3,7,506,10,0,626.2,0,84450,52,0.00,0.00,0.00,0.00,32,2,130.8,488.8,2483,0,0,0,0,2,0,2016/17,55,0,0,193.0,85,5
8,3,593,12,0,822.8,0,84450,51,0.00,0.00,0.00,0.00,50,1,195.3,753.4,3259,0,0,0,0,0,0,2017/18,55,0,0,378.0,109,10
3,8,452,7,0,674.0,0,84450,52,0.00,0.00,0.00,0.00,37,4,152.6,634.6,2498,0,0,0,0,0,0,2018/19,55,0,0,215.0,90,10
2,2,408,10,0,298.5,0,84450,51,0.00,0.00,0.00,0.00,31,1,89.9,486.2,2586,0,0,0,0,0,0,2019/20,55,0,0,110.0,73,10
2,1,396,10,0,327.6,0,84450,52,0.00,0.00,0.00,0.00,27,1,94.0,456.0,2519,0,0,0,0,1,0,2020/21,55,0,0,154.0,70,7
2,3,334,6,0,522.9,0,84450,48,0.00,0.00,0.00,0.00,38,1,118.2,395.4,2327,0,0,0,0,1,0,2021/22,50,0,0,262.0,60,10
8,15,634,13,0,675.5,0,84450,48,3.89,8.54,4.65,36.52,35,7,194.8,715.0,2992,0,0,0,0,0,0,2022/23,50,36,0,556.0,153,4
0,0,0,0,0,0.0,0,84450,60,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,2023/24,60,0,0,0.0,0,0
