assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,33,59940,43,6,0,0.0,4233,0.0,148,0,0,0,0,0,7,2012/13,45,0.0,1,0
0,0,5,0,0.0,24,59940,40,1,0,0.0,4897,0.0,91,0,0,0,0,0,8,2013/14,40,0.0,3,0
0,0,114,1,0.0,61,59940,39,10,0,0.0,5597,0.0,630,0,0,0,0,0,9,2014/15,40,0.0,13,2
0,0,51,0,0.0,33,59940,42,6,0,0.0,6303,0.0,286,0,0,0,0,0,10,2015/16,45,0.0,4,2
